package_name,sdk
br.com.mobits.mobitsplaza.terral.buritishopping,['Estimote']
br.com.mobradio.jbfm,['Gimbal']
br.com.multiplan.mind.multishopping,['Salesforce Marketing Cloud']
br.com.multiplus.participantemultiplus,"['AppsFlyer', 'AltBeacon']"
br.com.nav,['Salesforce Marketing Cloud']
br.com.netshoes.app,['Salesforce Marketing Cloud']
br.com.newguide,['Salesforce Marketing Cloud']
br.com.original.bank,['Demdex']
br.com.petlove.petlove,['mParticle']
br.com.portaldocartao.cartaomagazinedaeconomia,['Salesforce Marketing Cloud']
br.com.primelan.primespotpmv,['AltBeacon']
br.com.rico.mobile,['Salesforce Marketing Cloud']
br.com.rondel.mobitraxx.lite,['AltBeacon']
br.com.rondel.mobitraxx.pro,['AltBeacon']
br.com.sallve.sallveclub,['Salesforce Marketing Cloud']
br.com.serasaexperian.consumidor,"['Adjust', 'Salesforce Marketing Cloud']"
br.com.sicoobnet,['Salesforce Marketing Cloud']
br.com.sicredi.app,['Salesforce Marketing Cloud']
br.com.tapps.bidwars,['Swrve']
br.com.tapps.bidwars2,"['AppLovin (MAX and SparkLabs)', 'Swrve']"
br.com.tapps.logicpic,['Swrve']
br.com.tapps.myicecreamtruck,"['AppLovin (MAX and SparkLabs)', 'Swrve']"
br.com.tapps.tinyautoshop,['Swrve']
br.com.tapps.ufb,['Kochava']
br.com.tapps.weareilluminati,['Swrve']
br.com.tapps.zebraevolution,['Kochava']
br.com.topbank.usuario,['Salesforce Marketing Cloud']
br.com.toroinvestimentos,"['Adjust', 'Salesforce Marketing Cloud']"
br.com.turbi.turbi,"['Adjust', 'Data dog', 'Salesforce Marketing Cloud']"
br.com.ubook.ubookapp,['Kochava']
br.com.ubook.ubookgo,['Kochava']
br.com.ubook.ubooknews,['Kochava']
br.com.unidas.apprac.android,['Salesforce Marketing Cloud']
br.com.unimarservicelog.app,['AltBeacon']
br.com.unimedpoa.clientes,['AltBeacon']
br.com.vivae,['Salesforce Marketing Cloud']
br.com.vivo,"['Salesforce Marketing Cloud', 'Adjust']"
br.com.vivo.meuvivoempresas,"['Adjust', 'Salesforce Marketing Cloud']"
br.com.vw.connected.car,['Salesforce Marketing Cloud']
br.com.webatendimento.consorcio.cresol,['Salesforce Marketing Cloud']
br.com.webatendimento.consorcio.embracon,['Salesforce Marketing Cloud']
br.com.webatendimento.consorcio.nissan,['Salesforce Marketing Cloud']
br.com.webmotors.webmotorsrevendedor.production,['AltBeacon']
br.com.xp.carteira,['Salesforce Marketing Cloud']
br.com.xpinc.xpempresas,['Salesforce Marketing Cloud']
br.com.yazo.abdeh2022,['AltBeacon']
br.com.yazo.automec2023,['AltBeacon']
br.com.yazo.hsm2022,['AltBeacon']
br.com.zap.imoveis,['Salesforce Marketing Cloud']
br.com.zattini,['Salesforce Marketing Cloud']
br.com.zeenow.zeenow,"['AppsFlyer', 'Salesforce Marketing Cloud']"
br.coop.cecred.cecredmobile,['Salesforce Marketing Cloud']
br.ind.siam.android.new_techter,['AltBeacon']
br.mobilecomm.godriver,"['Flurry', 'AltBeacon']"
br.tv.horizonte.android.premierefc,['Salesforce Marketing Cloud']
